"istatId","population","lng","lat","ANPR","name","province","region","month","d15","d16","d17","d18","d19","d20","mar19","mar20","officialCovid","istatMarch","ecoBG","bsToday"
"1155","381","7.43913232","45.30142445",NULL,"Monastero di Lanzo","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1156","55875","7.68524785","45.00092557","1156","Moncalieri","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1157","42","6.98356095","45.20528865","1157","Moncenisio","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1158","749","7.85089356","45.06636449","1158","Montaldo Torinese","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1159","1030","7.83985641","45.33772294","1159","Montalenghe","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1160","3450","7.86379472","45.49362402","1160","Montalto Dora","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1161","5375","7.85282569","45.23289425","1161","Montanaro","Torino","Piemonte","3","5","4","12","3","6","8","0","0","0","1","0","0"
"1162","901","8.01478453","45.15054215","1162","Monteu da Po","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1163","820","7.94405562","45.03906243","1163","Moriondo Torinese","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1164","47851","7.64737268","44.99519052","1164","Nichelino","Torino","Piemonte","3","28","41","42","41","39","50","0","0","0","1","0","0"
"1165","169","7.31354369","45.45305086","1165","Noasca","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1166","6910","7.57012122","45.24523673","1166","Nole","Torino","Piemonte","3","4","6","6","3","3","6","0","0","0","1","0","0"
"1167","312","7.85971537","45.53518242","1167","Nomaglio","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1168","7998","7.54123958","44.93231301","1168","None","Torino","Piemonte","3","5","6","5","5","7","9","0","0","0","1","0","0"
"1169","560","7.01466579","45.18763602","1169","Novalesa","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1170","1426","7.69274392","45.34256696","1170","Oglianico","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1171","22537","7.53695676","45.00703303","1171","Orbassano","Torino","Piemonte","3","22","22","14","28","21","30","0","0","0","1","0","0"
"1172","829","7.86029968","45.32848958","1172","Orio Canavese","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1173","1124","7.34316619","44.84947467","1173","Osasco","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1174","913","7.60752807","44.86946279","1174","Osasio","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1175","3160","6.83221872","45.03127204","1175","Oulx","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1176","1235","7.74313424","45.34901489","1176","Ozegna","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1177","843","7.97804950","45.45747804","1177","Palazzo Canavese","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1178","1985","7.58816166","44.83047398","1178","Pancalieri","Torino","Piemonte","3","1","1","6","3","0","5","0","0","0","1","0","0"
"1179","468","7.79102750","45.42998528","1179","Parella","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1180","1119","7.83475798","45.06892615","1180","Pavarolo","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1181","3890","7.85397607","45.43526120","1181","Pavone Canavese","Torino","Piemonte","3","4","3","5","1","3","4","0","0","0","1","0","0"
"1183","3877","7.74869987","45.01955866","1183","Pecetto Torinese","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1184","3405","7.19237022","44.95809915","1184","Perosa Argentina","Torino","Piemonte","3","4","3","4","3","4","7","0","0","0","1","0","0"
"1185","556","7.82925599","45.39715691","1185","Perosa Canavese","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1186","723","7.11526705","44.93745704",NULL,"Perrero","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1187","773","7.63872415","45.35339905","1187","Pertusio","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
