istat,comune,lng,lat
4019,Bene Vagienna,7.83282512,44.54523956
4020,Benevello,8.10591872,44.62818908
4021,Bergolo,8.18352587,44.54801177
4022,Bernezzo,7.43531003,44.38860537
4023,Bonvicino,8.01592005,44.50362005
4024,Borgomale,8.13275549,44.62044163
4025,Borgo San Dalmazzo,7.48746357,44.32875997
4026,Bosia,8.14620308,44.60246692
4027,Bossolasco,8.05750263,44.52679083
4028,Boves,7.55199457,44.32981994
4029,Bra,7.85474763,44.69818228
4030,Briaglia,7.87698925,44.39511761
4031,Briga Alta,7.75076032,44.08321974
4032,Brondello,7.40513697,44.60005668
4033,Brossasco,7.36044207,44.57029687
4034,Busca,7.47352127,44.51369697
4035,Camerana,8.14079853,44.42266439
4036,Camo,8.19352184,44.69488958
4037,Canale,7.99140953,44.79720739
4038,Canosio,7.08139097,44.45532677
4039,Caprauna,7.95494044,44.11582328
4040,Caraglio,7.42762073,44.41771618
4041,Caramagna Piemonte,7.74117579,44.78043462
4042,Cardè,7.47821589,44.74417866
4043,Carrù,7.88006416,44.47859161
4044,Cartignano,7.28769499,44.47708439
4045,Casalgrasso,7.62496057,44.81950243
4046,Castagnito,8.03015252,44.75647805
4047,Casteldelfino,7.06903166,44.59097136
4048,Castellar,7.43636974,44.62157124
4049,Castelletto Stura,7.63905085,44.44422917
4050,Castelletto Uzzone,8.18598322,44.49257989
4051,Castellinaldo d'Alba,8.03153502,44.77533089
4052,Castellino Tanaro,7.98188704,44.42777401
4053,Castelmagno,7.21232892,44.40916447
4054,Castelnuovo di Ceva,8.13019641,44.35330865
4055,Castiglione Falletto,7.97903465,44.62333766
4056,Castiglione Tinella,8.18943117,44.72604642
4057,Castino,8.18121378,44.61699553
4058,Cavallerleone,7.66273569,44.73944316
4059,Cavallermaggiore,7.68774788,44.70785741
4060,Celle di Macra,7.17967333,44.48257098
4061,Centallo,7.59014854,44.50412404
4062,Ceresole Alba,7.82056601,44.79952425
4063,Cerretto Langhe,8.09783957,44.57433971
4064,Cervasca,7.46788805,44.38316033
4065,Cervere,7.79316738,44.63475191
4066,Ceva,8.03521716,44.38623533
4067,Cherasco,7.85820345,44.65222548
4068,Chiusa di Pesio,7.67788414,44.32477035
4069,Cigliè,7.92622597,44.43506854
4070,Cissone,8.03050943,44.56310368
4071,Clavesana,7.91198215,44.48214720
4072,Corneliano d'Alba,7.96129163,44.73553903
4073,Cortemilia,8.19186669,44.58086160
4074,Cossano Belbo,8.19855921,44.66906362
4075,Costigliole Saluzzo,7.48493751,44.56461241
4076,Cravanzana,8.12818957,44.57315552
4077,Crissolo,7.15718954,44.69910296
4078,Cuneo,7.55117163,44.39329624
4079,Demonte,7.29751308,44.31526154
4080,Diano d'Alba,8.02766887,44.65139204
4081,Dogliani,7.94516725,44.53009052
4082,Dronero,7.36331795,44.46697823
4083,Elva,7.08963389,44.53976498
4084,Entracque,7.39780279,44.24075683
4085,Envie,7.37219219,44.68175309
4086,Farigliano,7.91702082,44.51169894
4087,Faule,7.58066365,44.80542638
4088,Feisoglio,8.10417587,44.54335973
4089,Fossano,7.72487008,44.54939800
4090,Frabosa Soprana,7.80709202,44.28747375
4091,Frabosa Sottana,7.79831038,44.30202535
4092,Frassino,7.27564416,44.57135700
4093,Gaiola,7.40676156,44.33524752
4094,Gambasca,7.34741432,44.62937358
4095,Garessio,8.02988403,44.19729282
4096,Genola,7.66272590,44.58769184
4097,Gorzegno,8.13511748,44.51186000
4098,Gottasecca,8.16725259,44.46169553
4099,Govone,8.09995734,44.80485973
4100,Grinzane Cavour,7.98221368,44.65653790
4101,Guarene,8.03367466,44.73780446
4102,Igliano,8.01250347,44.44353291
4103,Isasca,7.38154761,44.58729447
4104,Lagnasco,7.55533712,44.62466066
4105,La Morra,7.93346395,44.63734577
4106,Lequio Berria,8.09767172,44.60460498
4107,Lequio Tanaro,7.88359880,44.56023249
4108,Lesegno,7.96650568,44.40123357
4109,Levice,8.15661951,44.53765937
4110,Limone Piemonte,7.57607947,44.20129244
4111,Lisio,7.97963402,44.30669736
4112,Macra,7.17920368,44.49985871
4113,Magliano Alfieri,8.06781101,44.76646823
4114,Magliano Alpi,7.79955227,44.45810047
4115,Mango,8.15033106,44.68461474
4116,Manta,7.48626156,44.61433199
4117,Marene,7.72915160,44.66149658
4118,Margarita,7.68685767,44.40264638
4119,Marmora,7.09449830,44.45749490
4120,Marsaglia,7.98298599,44.45218424
4121,Martiniana Po,7.36631509,44.62641683
4122,Melle,7.32058248,44.56205512
4123,Moiola,7.38887176,44.31969065
4124,Mombarcaro,8.08509313,44.46776296
4125,Mombasiglio,7.96999618,44.36331302
4126,Monastero di Vasco,7.82276111,44.34017655
4127,Monasterolo Casotto,7.94113913,44.33083516
4128,Monasterolo di Savigliano,7.62076965,44.68633537
4129,Monchiero,7.91814013,44.57304646
4130,Mondovì,7.81980578,44.38717713
4131,Monesiglio,8.11637954,44.46489547
4132,Monforte d'Alba,7.96840862,44.58233541
4133,Montà,7.96001468,44.81309155
4134,Montaldo di Mondovì,7.86584020,44.31946922
4135,Montaldo Roero,7.92446567,44.76856722
4136,Montanera,7.66557341,44.46197795
4137,Montelupo Albese,8.04638473,44.62306820
4138,Montemale di Cuneo,7.37281405,44.43769447
4139,Monterosso Grana,7.32391931,44.40888820
4140,Monteu Roero,7.93086916,44.78023621
4141,Montezemolo,8.14146684,44.37823953
4142,Monticello d'Alba,7.94100869,44.71829049
4143,Moretta,7.53692411,44.76390518
4144,Morozzo,7.71044647,44.42304028
4145,Murazzano,8.01884708,44.47375439
