Codice comune,Popolazione al 1/1/19
16065,1299
16066,2639
16067,1661
16068,2545
16069,3875
16070,4263
16071,1605
16072,3474
16073,6108
16074,6318
16075,5560
16076,5176
16077,8607
16078,1120
16079,11184
16080,1664
16081,4419
16082,925
16083,1932
16084,3391
16085,576
16086,9063
16087,4109
16088,3497
16089,7534
16090,238
16091,23610
16092,908
16093,3435
16094,1999
16096,8024
16097,1293
16098,3132
16099,1130
16100,2987
16101,4492
16102,587
16103,186
16104,3119
16105,3436
16106,210
16107,992
16108,5386
16109,1457
16110,855
16111,5018
16113,6173
16114,5172
16115,6519
16116,1554
16117,6460
16118,1201
16119,912
16120,7411
16121,173
16122,654
16123,4082
16124,4421
16125,598
16126,3765
16127,812
16128,5193
16129,2847
16130,896
16131,4002
16132,6825
16133,10647
16134,161
16135,2991
16136,205
16137,1148
16139,3288
16140,2527
16141,2960
16142,4533
16143,7470
16144,11526
16145,497
16146,1008
16147,148
16148,588
16149,908
16150,1746
16151,148
16152,5300
16153,12555
16154,2097
16155,4063
16156,4488
16157,5756
16158,2725
16159,352
16160,6022
16161,1792
16162,1436
16163,1065
16164,1205
16165,387
16166,88
16167,1610
16168,1800
16169,6821
16170,11579
16171,3377
16172,4999
16173,4630
16174,1857
16175,1112
16176,4943
16177,1722
16178,5956
16179,1229
16180,922
16182,3866
16183,20625
16184,429
16185,767
16186,914
16187,4171
16188,4765
16189,5824
16190,4806
16191,542
16193,6756
16194,10011
16195,1157
16196,2493
16197,2035
16198,25385
16199,2066
16200,1794
16201,722
16202,9139
16203,4516
16204,5324
16205,1010
16206,5802
16207,13234
16208,1068
16209,3816
16210,545
16211,2026
16212,5068
16213,8062
16214,8777
16215,2126
16216,2478
16217,1082
16218,9765
16219,30092
16220,10890
16221,1384
16222,9984
16223,1032
16224,4319
16225,601
16226,134
16227,212
16229,267
16230,207
16232,7563
16233,8070
16234,4587
16235,1137
16236,1354
16237,580
16238,4687
16239,6667
16240,6780
16241,1849
16242,8188
16243,1458
16244,2760
16245,8739
16246,8883
16247,900
16248,668
16249,300
16250,2415
16251,2039
16252,3891
16253,4293
17001,1528
17002,7188
17003,1687
17004,2450
17005,487
17006,2362
17007,3609
17008,3394
17009,12637
17010,3845
17011,2304
17012,1176
17013,2328
17014,12369
17015,2782
17016,1615
17017,2489
17018,3804
17019,1362
17020,5402
17021,9277
17022,2598
17023,10857
17024,2128
17025,7532
17026,1707
17027,693
17028,4815
17029,198536
17030,721
17031,2131
17032,12993
17033,3543
17034,8497
17035,2448
17036,353
17037,4656
17038,9472
17039,13096
17040,8532
17041,6578
17042,10989
17043,11496
17044,1693
17045,7352
17046,10961
17047,1150
17048,4881
17049,669
17050,1864
17051,857
17052,19094
17053,1557
17054,540
17055,2742
17056,8664
17057,4643
17058,2066
17059,7564
17060,4000
17061,15697
17062,7156
17063,1953
17064,1423
17065,15691
17066,5622
17067,29158
17068,4525
17069,8694
17070,5225
17071,2055
17072,8921
17073,4677
17074,2653
17075,11509
17076,2823
17077,12280
17078,18669
17079,2132
17080,5151
17081,16739
17082,1862
17083,368
17084,128
17085,9168
17086,4106
17087,516
17088,14249
17089,1160
17090,1673
17091,3794
17092,16725
17093,571
17094,609
17095,405
17096,22130
17097,1472
17098,123
17099,3495
17100,1993
17101,3150
17102,5370
17103,13161
17104,4289
17105,659
17106,3165
17107,12440
17108,1747
17109,2596
17110,535
17111,1709
17112,4546
17113,25902
17114,5147
17115,774
17116,2679
17117,10790
17118,2027
17119,3994
17120,4781
17121,1916
17122,4061
17123,3220
17124,963
17125,12520
17126,2456
17127,14774
17128,1444
17129,4684
17130,3660
17131,185
17132,2125
17133,20104
17134,4832
17135,602
17136,7068
17137,2770
17138,4505
17139,543
17140,609
17141,1492
17142,4741
17143,7963
17144,2510
17145,2706
17146,3760
17147,5211
17148,1761
17149,7138
17150,6880
17151,3523
17152,2923
17153,1533
17155,6950
17156,7369
17157,915
17158,3458
17159,6295
17160,3382
17161,13551
17162,4739
17163,9776
17164,4515
17165,9453
17166,19320
17167,5810
17168,3951
17169,3347
17170,10521
17171,3427
17172,2628
17173,4763
17174,13289
17175,867
17176,1430
17177,1419
17178,3038
17179,8254
17180,1888
17181,1259
17182,1943
17183,1251
17184,1110
17185,1227
17186,6535
17187,7881
17188,13986
17189,2103
17190,5448
17191,519
17192,3751
17193,1441
17194,179
17195,8190
17196,3758
17197,4316
17198,1444
17199,10792
17200,1416
17201,5812
17202,667
17203,1978
17204,8142
17205,1049
17206,4696
18001,836
18002,233
18003,530
18004,3564
18005,1556
18006,359
18007,661
18008,847
18009,1719
18011,993
18012,661
18013,6209
18014,2664
18015,2704
18016,1458
18017,417
18018,975
18019,2711
18020,619
18021,553
18022,748
18023,3474
18024,9603
18025,111
18026,1095
18027,1556
18029,1379
18030,1459
18031,437
18032,881
18033,2485
18034,8779
18035,6934
18036,746
18037,6738
18038,1067
18039,1145
18040,563
18041,6750
18042,227
18043,2239
18044,188
18045,722
18046,5544
18047,1218
18048,3970
18049,1307
18050,5475
18051,979
18052,1599
18053,1679
18054,810
18057,1022
18058,396
18059,372
18060,4939
18061,4632
18062,1109
18063,825
18064,360
18065,1177
18066,195
18067,202
18068,9896
18069,9784
18071,1416
18072,5304
18073,3299
18074,193
18075,2740
18076,4454
18077,1490
18078,6417
18079,368
18080,1143
18081,2833
18082,130
18083,2131
18084,2451
18085,1705
18086,2501
18087,1668
18088,6524
18089,358
18090,1077
18091,479
18092,1351
18093,3733
18094,896
18095,1563
18096,532
18097,424
18098,279
18099,732
18100,1638
18101,612
18102,15407
18103,294
18104,710
18105,162
18106,1106
18107,1897
18108,300
18109,1905
18110,73086
18111,835
18112,860
18113,1930
18114,2660
18115,1685
18116,709
18117,784
18118,1482
18119,406
18120,1052
18121,1562
18122,5327
18123,5860
18124,542
18125,84
18126,218
18127,640
18128,669
18129,1561
18130,574
18131,883
18133,478
18134,640
18135,3870
18136,1055
18137,6439
18138,5414
18139,1949
18140,1617
18141,970
18142,475
18143,2293
18144,787
18145,569
18146,1593
18147,909
18148,207
18149,668
18150,6128
18151,1158
18152,570
18153,11578
18154,612
18155,1623
18156,581
18157,944
18158,315
18159,2425
18160,3519
18161,833
18162,4380
18163,2288
18164,3770
18165,1018
18166,625
18167,217
18168,2181
18169,1500
18171,3115
18172,95
18173,3331
18174,372
18175,1259
18176,6508
18177,63426
18178,72
18179,771
18180,2985
18181,1545
18182,39365
18183,125
18184,999
18185,1703
18186,1004
18187,474
18188,404
18189,1761
