"istatId","name","month","d15","d16","d17","d18","d19","d20","istatMarch","ecoBG","bsToday","mar19","mar20","officialCovid","population","nameItSt","lng","lat"
"15168","Parabiago","3","17","11","13","19","9","21","1",,,,,,"26617","Parabiago","8.95238691","45.55801413"
"15169","Paullo","3","5","4","5","12","8","14","1",,,,,,"11014","Paullo","9.39939608","45.41702165"
"15171","Peschiera Borromeo","3","6","7","8","15","16","18","1",,,,,,"22254","Peschiera Borromeo","9.31109409","45.43176867"
"15172","Pessano con Bornago","3","2","0","6","5","6","9","1",,,,,,"9064","Pessano con Bornago","9.38762275","45.55027632"
"15175","Pioltello","3","6","9","24","27","8","28","1",,,,,,"35066","Pioltello","9.32813782","45.49677508"
"15176","Pogliano Milanese","3","0","3","5","6","3","8","1",,,,,,"8141","Pogliano Milanese","8.99355069","45.53725726"
"15182","Rho","3","29","32","19","28","44","39","1",,,,,,"50052","Rho","9.04021698","45.52890587"
"15184","Robecco sul Naviglio","3","8","6","3","1","3","8","1",,,,,,"6842","Robecco sul Naviglio","8.89040620","45.43756541"
"15188","Rosate","3","4","1","2","6","1","5","1",,,,,,"5395","Rosate","9.01680511","45.34835080"
"15189","Rozzano","3","22","23","25","19","27","42","1",,,,,,"39983","Rozzano","9.15292695","45.38101963"
"15191","San Colombano al Lambro","3","8","7","6","7","5","20","1",,,,,,"7336","San Colombano al Lambro","9.48925035","45.18132946"
"15192","San Donato Milanese","3","17","18","13","15","20","27","1",,,,,,"30992","San Donato Milanese","9.26614911","45.41696210"
"15194","San Giorgio su Legnano","3","3","7","5","3","7","7","1",,,,,,"6730","San Giorgio su Legnano","8.91647570","45.57653352"
"15195","San Giuliano Milanese","3","17","16","26","18","15","37","1",,,,,,"35971","San Giuliano Milanese","9.28492451","45.40022835"
"15204","Sedriano","3","7","3","6","4","6","14","1",,,,,,"11270","Sedriano","8.97088206","45.48755545"
"15209","Sesto San Giovanni","3","48","40","47","45","48","72","1",,,,,,"76514","Sesto San Giovanni","9.23651246","45.53352962"
"15210","Settala","3","3","3","1","2","1","4","1",,,,,,"7328","Settala","9.38688134","45.45468517"
"15213","Solaro","3","4","4","8","6","7","10","1",,,,,,"13890","Solaro","9.07951970","45.61677245"
"15219","Trezzano Rosa","3","1","1","2","1","2","4","1",,,,,,"4861","Trezzano Rosa","9.48954108","45.58497981"
"15221","Trezzo sull'Adda","3","13","7","9","4","10","23","1",,,,,,"11883","Trezzo sull'Adda","9.51924401","45.61015321"
"15222","Tribiano","3","1","1","1","1","1","5","1",,,,,,"3312","Tribiano","9.36826311","45.40419814"
"15230","Vaprio d'Adda","3","2","8","5","4","6","11","1",,,,,,"8126","Vaprio d'Adda","9.53346804","45.57645829"
"15244","Vizzolo Predabissi","3","1","1","2","2","3","13","1",,,,,,"4045","Vizzolo Predabissi","9.34657618","45.35700041"
"16002","Adrara San Rocco","3","0","0","0","2","0","0","0","1",,"0","1","0","836","Adrara San Rocco","9.95771458","45.71217274"
"16003","Albano Sant'Alessandro","3","2","2","4","5","4","28","1",,,,,,"8029","Albano Sant'Alessandro","9.76623620","45.68645495"
"16004","Albino","3","6","7","11","8","12","99","1","1",,"19","145","56","18087","Albino","9.79693450","45.76059116"
"16005","Almè","3","5","2","4","3","5","23","1",,,,,,"5665","Almè","9.61756690","45.74006437"
"16006","Almenno San Bartolomeo","3","2","4","4","0","1","6","1","1",,"1","11","3","6030","Almenno San Bartolomeo","9.57826907","45.74829449"
"16007","Almenno San Salvatore","3","5","2","7","3","2","9","1",,,,,,"5831","Almenno San Salvatore","9.58738459","45.74973808"
"16008","Alzano Lombardo","3","8","5","8","8","8","83","1","1",,"9","101","54","13591","Alzano Lombardo","9.72580631","45.72747077"
"16010","Antegnate","3","2","0","1","0","0","5","1",,,,,,"3107","Antegnate","9.79245129","45.48444261"
"16011","Arcene","3","4","1","1","3","2","9","1",,,,,,"4731","Arcene","9.61367879","45.57551324"
"16012","Ardesio","3","2","1","2","4","4","9","1",,,,,,"3632","Ardesio","9.92964900","45.93819796"
"16016","Azzano San Paolo","3","5","1","4","7","7","0","0","1",,"8","32","14","7597","Azzano San Paolo","9.67632432","45.66191569"
"16017","Azzone","3","0","0","2","1","0","0","0","1",,"0","1","0","433","Azzone","10.11281471","45.97902681"
"16018","Bagnatica","3","3","0","3","1","1","14","1","1",,"4","16","11","4154","Bagnatica","9.78137877","45.66367408"
"16019","Barbata","3","0","0","0","0","0","0","0","1",,"0","1","0","698","Barbata","9.77623374","45.47490603"
"16020","Bariano","3","3","2","1","1","4","9","1",,,,,,"4350","Bariano","9.70701505","45.51477813"
"16022","Bedulita","3","0","0","4","0","1","0","0","1",,"1","1","0","723","Bedulita","9.55092365","45.79064007"
"16023","Berbenno","3","1","3","0","0","2","0","0","1",,"3","9","2","2442","Berbenno","9.56832347","45.81171214"
"16024","Bergamo","3","97","88","82","85","101","398","1","1",,"125","553","201","115349","Bergamo","9.66842453","45.69441368"
"16026","Bianzano","3","1","0","0","1","2","0","0","1",,"2","6","3","605","Bianzano","9.91778785","45.77337870"
"16028","Bolgare","3","3","2","5","1","1","10","1",,,,,,"5760","Bolgare","9.82023830","45.63185923"
"16030","Bonate Sopra","3","2","1","5","4","4","9","1",,,,,,"8920","Bonate Sopra","9.55923638","45.68308830"
"16031","Bonate Sotto","3","7","4","3","1","2","0","0","1",,"4","10","2","6455","Bonate Sotto","9.56130516","45.66636307"
"16033","Bossico","3","0","1","0","0","2","0","0","1",,"2","5","1","969","Bossico","10.04486839","45.82701072"
